Name,SRR1140763,SRR1140994,SRR1140995,SRR1142421,SRR1142422,SRR1142423
Smp_000020.1,283.992,321.0,928.96,3568.547,1145.987,1415.0
Smp_000030.1,973.0,1353.0,4311.0,9610.0,4110.0,5969.0
Smp_000040.1,435.0,446.0,1547.0,4549.0,1334.0,2171.0
Smp_000050.1,57.0,29.0,63.0,1340.0,79.0,75.0
Smp_000070.1,194.0,297.0,899.0,2093.001,1048.0,1225.0
Smp_000075.1,0.0,0.0,0.0,1.0,0.0,2.0
Smp_000080.1,0.0,0.0,9.973,31.257,14.027,10.996
Smp_000100.1,728.0,644.0,1518.0,13762.0,1992.0,3010.0
Smp_000110.1,290.0,334.0,969.0,2841.207,1109.0,1273.0
Smp_000130.1,331.0,490.0,1290.0,5288.0,1505.0,2263.0
Smp_000150.1,724.024,1045.0,3068.648,9284.509,2655.052,4008.678
Smp_000160.1,19.998,31.293,109.061,456.147,88.0,159.02
Smp_000180.1,0.0,2.0,16.0,32.0,42.0,34.0
Smp_000190.1,41.0,10.0,55.0,454.0,66.0,73.0
Smp_000200.1,76.0,82.0,391.0,1481.0,274.0,401.0
Smp_000230.1,219.018,162.014,654.168,2834.01,537.0,1226.011
Smp_000240.1,712.0,1379.0,4485.0,7902.0,4147.0,5079.0
Smp_000250.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_000260.1,614.0,754.0,2105.0,11051.0,2279.0,2605.0
Smp_000270.1,1.0,0.0,0.0,2.0,4.0,0.0
Smp_000280.1,1.0,0.0,2.0,1.497,0.0,0.0
Smp_000300.1,85.0,135.0,616.0,678.0,476.0,664.0
Smp_000310.1,326.0,588.0,1684.0,2975.0,1513.0,1725.0
Smp_000320.1,27.0,64.0,156.0,800.0,116.0,242.0
Smp_000340.1,15.0,16.0,48.0,193.0,27.0,47.0
Smp_000370.1,64.0,153.973,345.0,1334.669,348.013,375.877
Smp_000390.1,0.0,0.0,0.0,1.0,0.0,0.0
Smp_000420.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_000430.1,0.0,0.0,2.0,0.0,0.0,0.0
Smp_000470.1,207.0,228.0,816.0,1830.0,632.0,1007.0
Smp_000480.1,52.637,6.838,118.991,991.249,99.254,88.414
Smp_000480.2,173.39,225.168,489.214,1860.753,567.118,661.68
Smp_000500.1,33.0,28.0,705.0,65.0,238.0,214.0
Smp_000510.1,68.0,105.0,290.0,631.0,338.0,364.0
Smp_000560.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_000580.1,34.0,50.0,264.0,248.0,205.0,291.0
Smp_000590.1,121.288,130.828,603.023,1918.309,450.832,576.321
Smp_000600.1,103.0,111.0,246.0,1061.0,258.0,207.0
Smp_000620.1,7.0,6.0,16.0,73.0,9.0,9.0
Smp_000630.1,22.0,28.0,118.0,312.0,46.0,98.0
Smp_000640.1,168.0,327.0,1008.0,2061.0,934.0,946.0
Smp_000650.1,192.0,154.0,519.0,2334.0,444.0,663.0
Smp_000660.1,408.008,733.124,1994.864,10215.21,1691.516,1772.767
Smp_000670.1,127.0,111.0,351.0,2196.0,358.0,626.0
Smp_000680.1,39.0,78.0,237.0,724.0,207.0,203.0
Smp_000690.1,17.042,37.028,85.009,224.425,48.386,64.005
Smp_000700.1,203.039,266.043,848.434,2561.058,701.638,1329.136
Smp_000710.1,120.0,121.0,523.0,1730.0,476.0,742.0
Smp_000720.1,207.238,161.0,756.362,3652.703,632.001,1137.399
Smp_000740.1,408.0,644.0,2473.0,5693.0,1669.0,2231.0
Smp_000755.1,70.0,78.0,179.0,4525.0,118.0,164.0
Smp_000770.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_000790.1,40.872,570.105,467.331,2170.88,733.539,504.33
Smp_000790.2,323.128,94.895,1407.669,1453.12,868.461,2174.67
Smp_000810.1,59.0,90.0,289.0,673.0,251.0,334.0
Smp_000820.1,99.0,152.253,581.672,5056.837,431.4,339.936
Smp_000820.2,0.0,13.747,66.328,428.163,52.6,46.064
