Name,SRR1140763,SRR1140994,SRR1140995,SRR1142421,SRR1142422,SRR1142423
Smp_000020.1,28.816193,15.909551,13.515081,29.037735,23.186978,18.249707
Smp_000030.1,135.08839,91.754112,85.817197,106.996501,113.784012,105.335798
Smp_000040.1,69.63689,34.874462,35.508436,58.39922,42.583384,44.175264
Smp_000050.1,3.862752,0.959936,0.612144,7.282286,1.067538,0.64603
Smp_000070.1,68.922359,51.539168,45.794067,59.630543,74.242727,55.317649
Smp_000075.1,0.0,0.0,0.0,0.034265,0.0,0.10862
Smp_000080.1,0.0,0.0,1.284428,2.251492,2.512411,1.255419
Smp_000100.1,35.020867,15.132265,10.470282,53.090653,19.108169,18.404805
Smp_000110.1,26.734019,15.039565,12.807996,21.00439,20.386001,14.916395
Smp_000130.1,33.066298,23.909815,18.477296,42.363324,29.979771,28.735011
Smp_000150.1,54.769567,38.612263,33.283162,56.323077,40.049183,38.544001
Smp_000160.1,2.065171,1.578469,1.614839,3.777596,1.812122,2.087324
Smp_000180.1,0.0,0.348263,0.817835,0.914841,2.985645,1.540646
Smp_000190.1,11.618885,1.384214,2.234778,10.317571,3.72957,2.629497
Smp_000200.1,3.376516,1.779474,2.490709,5.276564,2.427392,2.264481
Smp_000230.1,12.772571,4.615008,5.469894,13.253807,6.244634,9.087865
Smp_000240.1,189.918246,179.669151,171.530069,169.030364,220.574328,172.200392
Smp_000250.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_000260.1,84.818399,50.876309,41.69317,122.423356,62.776957,45.740263
Smp_000270.1,0.571478,0.0,0.0,0.091658,0.455821,0.0
Smp_000280.1,0.652731,0.0,0.187178,0.078363,0.0,0.0
Smp_000300.1,7.628194,5.917784,7.926375,4.879479,8.518125,7.574258
Smp_000310.1,139.43718,122.845957,103.27476,102.04435,129.042911,93.781962
Smp_000320.1,6.474655,7.496445,5.36375,15.384516,5.546833,7.376281
Smp_000340.1,0.929745,0.484412,0.426585,0.959337,0.333711,0.370288
Smp_000370.1,7.763784,9.123477,6.000724,12.983986,8.418266,5.795738
Smp_000390.1,0.0,0.0,0.0,0.058335,0.0,0.0
Smp_000420.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_000430.1,0.0,0.0,0.152293,0.0,0.0,0.0
Smp_000470.1,73.794675,39.701972,41.709593,52.317475,44.926852,45.630305
Smp_000480.1,1.977662,0.125483,0.641017,2.986673,0.743608,0.422233
Smp_000480.2,7.851938,4.980611,3.176457,6.757446,5.121066,3.808642
Smp_000500.1,15.872995,6.57848,48.621146,2.50726,22.827384,13.083621
Smp_000510.1,21.898803,16.516701,13.390617,16.29603,21.70513,14.899856
Smp_000560.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_000580.1,3.063254,2.200375,3.410351,1.79183,3.682919,3.33247
Smp_000590.1,21.038435,11.084575,14.997578,26.684308,15.593554,12.70662
Smp_000600.1,24.249245,12.76458,8.303998,20.03168,12.111974,6.194419
Smp_000620.1,2.593948,1.086018,0.850108,2.169337,0.665028,0.423911
Smp_000630.1,12.731002,7.914445,9.790684,14.478898,5.308013,7.208339
Smp_000640.1,52.506847,49.920275,45.170855,51.656581,58.208682,37.580887
Smp_000650.1,39.82447,15.602423,15.435022,38.823138,18.363945,17.479602
Smp_000660.1,34.084195,29.91464,23.893971,68.434058,28.176966,18.823692
Smp_000670.1,8.793987,3.754288,3.48482,12.194259,4.943099,5.509671
Smp_000680.1,15.494208,15.136377,13.500326,23.06664,16.398698,10.25109
Smp_000690.1,1.386342,1.471323,0.991554,1.464102,0.784901,0.66182
Smp_000700.1,16.223476,10.383345,9.720145,16.410585,11.179205,13.499023
Smp_000710.1,37.790751,18.612821,23.615497,43.69094,29.891346,29.701434
Smp_000720.1,18.257218,6.928093,9.554019,25.805996,11.102406,12.736416
Smp_000740.1,123.680839,95.356583,107.487384,138.396289,100.886447,85.962899
Smp_000755.1,10.388837,5.654394,3.809018,53.855302,3.492088,3.093727
Smp_000770.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_000790.1,3.157146,21.510119,5.175848,13.447527,11.298559,4.951646
Smp_000790.2,25.24287,3.621021,15.767256,9.103469,13.528481,21.593703
Smp_000810.1,10.734282,7.998085,7.538934,9.819221,9.106027,7.723901
Smp_000820.1,87.403225,65.65677,73.631108,358.024086,75.946302,38.146808
