"Gene","Target","OthersMean","Log2FC"
"Smp_068920.2",0,6.72536296934447,-6.72536296934447
"Smp_247660.1",0,4.95134967701822,-4.95134967701822
"Smp_348100.1",0,4.607773768555,-4.607773768555
"Smp_319930.1",0,4.48212009561358,-4.48212009561358
"Smp_323200.1",1.87115485344189,5.83266638084016,-3.96151152739827
"Smp_323300.1",6.13322605328509,9.98874848141203,-3.85552242812694
"Smp_019840.2",0,3.62398121852238,-3.62398121852238
"Smp_020800.1",0,3.60599257189732,-3.60599257189732
"Smp_328580.1",4.91383619963281,8.15737290592594,-3.24353670629313
"Smp_347710.2",3.41830843571288,6.62726080410944,-3.20895236839656
"Smp_308760.1",6.04500818328098,9.17778258168687,-3.13277439840589
"Smp_323290.1",4.83387470971896,7.94995530772956,-3.1160805980106
"Smp_323190.1",4.01342849230764,7.09424015306515,-3.0808116607575
"Smp_323440.1",11.0778662264225,14.0973359896808,-3.01946976325826
"Smp_333270.1",1.46026971212947,4.46101470013689,-3.00074498800742
"Smp_165050.1",3.08439784944744,6.07828888069984,-2.9938910312524
"Smp_308750.1",8.3634527449414,11.3162168309779,-2.95276408603651
"Smp_326460.1",5.703627075377,8.6300407375483,-2.9264136621713
"Smp_247050.1",2.00313877291478,4.87830422675234,-2.87516545383755
"Smp_341710.1",3.17217849349423,6.04523938085311,-2.87306088735887
