source,target,correlation,abs_correlation,relation,interaction,edge_width,edge_sign
Smp_348100.1,Smp_319930.1,0.9821626189945312,0.9821626189945312,positive,positive,0.9821626189945312,positive
Smp_348100.1,Smp_181730.1,0.958564110394892,0.958564110394892,positive,positive,0.958564110394892,positive
Smp_348100.1,Smp_104500.2,0.9939818810267114,0.9939818810267114,positive,positive,0.9939818810267114,positive
Smp_348100.1,Smp_322350.1,0.9892133621905028,0.9892133621905028,positive,positive,0.9892133621905028,positive
Smp_348100.1,Smp_242860.2,0.9973895002011012,0.9973895002011012,positive,positive,0.9973895002011012,positive
Smp_348100.1,Smp_343170.2,0.9708193862139294,0.9708193862139294,positive,positive,0.9708193862139294,positive
Smp_348100.1,Smp_328440.1,-0.9806871503925684,0.9806871503925684,negative,negative,0.9806871503925684,negative
Smp_348100.1,Smp_335110.1,0.965160375866975,0.965160375866975,positive,positive,0.965160375866975,positive
Smp_348100.1,Smp_121990.2,0.9609864080538314,0.9609864080538314,positive,positive,0.9609864080538314,positive
Smp_348100.1,Smp_150230.2,0.9987358322939216,0.9987358322939216,positive,positive,0.9987358322939216,positive
Smp_348100.1,Smp_320760.1,-0.95665736110863,0.95665736110863,negative,negative,0.95665736110863,negative
Smp_348100.1,Smp_212300.1,0.9636300078904776,0.9636300078904776,positive,positive,0.9636300078904776,positive
Smp_348100.1,Smp_335660.2,0.9877246566010728,0.9877246566010728,positive,positive,0.9877246566010728,positive
Smp_348100.1,Smp_318280.1,0.9925943647295952,0.9925943647295952,positive,positive,0.9925943647295952,positive
Smp_348100.1,Smp_025360.1,0.96500575785339,0.96500575785339,positive,positive,0.96500575785339,positive
Smp_348100.1,Smp_332550.1,0.9969509591977176,0.9969509591977176,positive,positive,0.9969509591977176,positive
Smp_348100.1,Smp_332550.2,-0.9957462975051484,0.9957462975051484,negative,negative,0.9957462975051484,negative
Smp_348100.1,Smp_328620.1,-0.9594341601098146,0.9594341601098146,negative,negative,0.9594341601098146,negative
Smp_348100.1,Smp_163580.1,0.9852874249648936,0.9852874249648936,positive,positive,0.9852874249648936,positive
Smp_348100.1,Smp_336830.1,0.9732528575192314,0.9732528575192314,positive,positive,0.9732528575192314,positive
Smp_348100.1,Smp_193610.1,-0.973090097758352,0.973090097758352,negative,negative,0.973090097758352,negative
Smp_348100.1,Smp_318210.1,-0.9743374524722368,0.9743374524722368,negative,negative,0.9743374524722368,negative
Smp_348100.1,Smp_057620.2,0.994831204885583,0.994831204885583,positive,positive,0.994831204885583,positive
Smp_348100.1,Smp_018250.1,0.981528347439138,0.981528347439138,positive,positive,0.981528347439138,positive
Smp_348100.1,Smp_163980.1,0.968441935581918,0.968441935581918,positive,positive,0.968441935581918,positive
Smp_348100.1,Smp_337100.5,0.9746372682876652,0.9746372682876652,positive,positive,0.9746372682876652,positive
Smp_348100.1,Smp_266830.1,0.9575255222950584,0.9575255222950584,positive,positive,0.9575255222950584,positive
Smp_348100.1,Smp_130470.1,0.9860163144801632,0.9860163144801632,positive,positive,0.9860163144801632,positive
Smp_319930.1,Smp_104500.2,0.98892007379292,0.98892007379292,positive,positive,0.98892007379292,positive
Smp_319930.1,Smp_322350.1,0.9982848137509004,0.9982848137509004,positive,positive,0.9982848137509004,positive
Smp_319930.1,Smp_242860.2,0.9927148409276272,0.9927148409276272,positive,positive,0.9927148409276272,positive
Smp_319930.1,Smp_343170.2,0.9726669726777446,0.9726669726777446,positive,positive,0.9726669726777446,positive
Smp_319930.1,Smp_046060.1,0.9515993661940342,0.9515993661940342,positive,positive,0.9515993661940342,positive
