"__glayCluster","degree","hub_status","mean_log_expression","name","selected","shared name","variance_log_expression","weighted_degree"
"8","1","non_hub","5.759717210693752","Smp_348100.1","false","Smp_348100.1","14.967345533140431","0.9806871503925683"
"8","2","non_hub","0.7522975586862775","Smp_328440.1","false","Smp_328440.1","1.1750907488705107","1.965962327726795"
"6","9","non_hub","4.392020251946428","Smp_204420.1","false","Smp_204420.1","10.131252231486295","8.84638592470956"
"6","14","hub","1.236062621337813","Smp_318100.1","false","Smp_318100.1","1.6522497807829521","13.744316811149977"
"6","17","hub","1.1514008822226718","Smp_327370.1","false","Smp_327370.1","1.6431234655380222","16.754165300745886"
"6","12","non_hub","3.8380919383806438","Smp_019690.2","false","Smp_019690.2","1.0998488214958655","11.80569048972908"
"6","17","hub","0.9264215728151068","Smp_032670.1","false","Smp_032670.1","1.0236258168139434","16.749865440724687"
"6","12","non_hub","2.1344931955961344","Smp_043500.2","false","Smp_043500.2","1.0161764417515895","11.805267652299866"
"6","16","hub","1.1362429633033138","Smp_082410.1","false","Smp_082410.1","0.923066820000324","15.747204275950338"
"6","11","non_hub","3.3282112811919156","Smp_000790.1","false","Smp_000790.1","0.834356990384452","10.853101961475971"
"6","12","non_hub","3.872901243591243","Smp_340300.2","false","Smp_340300.2","0.7457801086254747","11.847795246789836"
"6","12","non_hub","2.2664126630851666","Smp_150000.1","false","Smp_150000.1","0.7081549867137146","11.803349052555538"
"2","2","non_hub","4.320427033241758","Smp_247660.1","false","Smp_247660.1","8.84057992655008","1.9715034107122702"
"2","6","non_hub","0.9060917039888262","Smp_319970.1","false","Smp_319970.1","1.7159974942354193","5.932237215021086"
"2","7","non_hub","0.4920882457650788","Smp_245600.2","false","Smp_245600.2","0.7531085605748866","6.904659074374904"
"11","4","non_hub","2.4432424420291152","Smp_323230.1","false","Smp_323230.1","8.418126881348664","3.891693873950057"
"11","8","non_hub","1.2475145948499935","Smp_196880.2","false","Smp_196880.2","2.0783630581912393","7.894316869452803"
"11","6","non_hub","0.9920962010014255","Smp_335370.1","false","Smp_335370.1","1.0591475171574878","5.893087068408865"
"11","13","hub","1.1611025239821269","Smp_332600.2","false","Smp_332600.2","1.0392605662069117","12.710250393955496"
"11","8","non_hub","0.8370911428943302","Smp_170770.2","false","Smp_170770.2","0.9371279004314724","7.88966734226963"
"12","7","non_hub","2.4425608656372324","Smp_204370.1","false","Smp_204370.1","7.96385723602367","6.908237770063475"
"12","6","non_hub","1.1727354816046223","Smp_164270.2","false","Smp_164270.2","1.8602375606634158","5.921173276948079"
"12","6","non_hub","2.837948444743218","Smp_017470.1","false","Smp_017470.1","1.6988093639029038","5.9527663303727225"
"12","4","non_hub","3.434206647928712","Smp_349140.1","false","Smp_349140.1","1.2309659827103652","3.9268764396189324"
"6","5","non_hub","0.7700213655117396","Smp_327460.1","false","Smp_327460.1","0.8382104428249072","4.906951330087768"
"12","6","non_hub","3.1757641760845505","Smp_074390.1","false","Smp_074390.1","0.8017101075313513","5.932170577304345"
"12","6","non_hub","3.037104176122709","Smp_328910.1","false","Smp_328910.1","0.7364648362762388","5.954985689084139"
"12","6","non_hub","0.8035432419890725","Smp_028210.2","false","Smp_028210.2","0.7013598679472469","5.900029298428366"
"2","1","non_hub","4.166746302689804","Smp_348820.2","false","Smp_348820.2","7.764135100488481","0.9848470142591171"
"7","1","non_hub","3.7234362104953993","Smp_181730.1","false","Smp_181730.1","6.841724968523863","0.9712772440723538"
"7","4","non_hub","2.8201354161660275","Smp_326490.1","false","Smp_326490.1","1.1495273357999347","3.918979325411595"
"5","5","non_hub","3.6911756677947043","Smp_331370.1","false","Smp_331370.1","6.831371133817124","4.928226729998862"
"5","26","hub","2.059921082965108","Smp_122790.2","false","Smp_122790.2","1.4722776704329477","25.657327727429706"
"5","9","non_hub","0.8528302134993394","Smp_317510.1","false","Smp_317510.1","1.1608769146668394","8.889152496067693"
"5","24","hub","1.1474090943394775","Smp_335380.1","false","Smp_335380.1","1.101146027239278","23.691757041997054"
"5","16","hub","3.9450848553732456","Smp_055870.2","false","Smp_055870.2","0.7363535602432628","15.812377698359237"
"5","13","hub","0.6437219845810968","Smp_203090.1","false","Smp_203090.1","0.7213707312237806","12.791972831566856"
"6","2","non_hub","2.043469742117234","Smp_204040.1","false","Smp_204040.1","6.61564122706708","1.993366046692"
"6","7","non_hub","5.672785672220916","Smp_335785.1","false","Smp_335785.1","1.0864032917473323","6.959590685088277"
"6","8","non_hub","3.152905180664644","Smp_193680.1","false","Smp_193680.1","0.7253864083868268","7.886381019086139"
