rede,glay,n_genes,n_hubs,mean_degree,median_degree,max_degree,mean_weighted_degree,top_gene,top_degree,genes_principais
positiva,16,75,20,18.08,18.0,33,17.82631156235843,Smp_322700.1,33,Smp_322700.1; Smp_341200.2; Smp_152630.1; Smp_139080.2; Smp_336310.2; Smp_012350.1; Smp_149380.2; Smp_210520.2; Smp_047870.1; Smp_246790.1
positiva,12,32,0,7.84375,8.0,12,7.738508300388107,Smp_323440.1,12,Smp_323440.1; Smp_323270.2; Smp_323320.1; Smp_323300.1; Smp_335135.1; Smp_323190.1; Smp_335130.1; Smp_323270.1; Smp_319290.1; Smp_152590.1
positiva,15,31,0,7.516129032258065,7.0,13,7.415732266862374,Smp_040710.2,13,Smp_040710.2; Smp_309730.1; Smp_341160.2; Smp_323230.1; Smp_170910.1; Smp_058050.1; Smp_201340.1; Smp_051000.1; Smp_141290.1; Smp_061250.2
positiva,10,31,0,5.419354838709677,5.0,9,5.342131724483297,Smp_019690.2,9,Smp_019690.2; Smp_043500.2; Smp_082410.1; Smp_327460.1; Smp_347490.1; Smp_000790.1; Smp_063530.1; Smp_328360.1; Smp_318100.1; Smp_150000.1
positiva,3,26,0,6.884615384615385,6.0,12,6.783526202277894,Smp_051000.2,12,Smp_051000.2; Smp_150080.2; Smp_020450.2; Smp_093430.1; Smp_320200.1; Smp_023940.2; Smp_141010.3; Smp_346930.2; Smp_152290.1; Smp_181180.1
positiva,7,19,0,3.526315789473684,3.0,7,3.4732945180778403,Smp_316860.1,7,Smp_316860.1; Smp_247660.1; Smp_163570.2; Smp_304890.1; Smp_171140.1; Smp_019840.2; Smp_348820.2; Smp_163600.2; Smp_337670.1; Smp_018240.2
positiva,14,17,0,5.588235294117647,6.0,7,5.51246267594923,Smp_010550.1,7,Smp_010550.1; Smp_212300.2; Smp_182600.1; Smp_204040.1; Smp_330270.1; Smp_152580.1; Smp_266830.2; Smp_214020.2; Smp_181080.1; Smp_247700.1
positiva,5,17,0,2.8823529411764706,3.0,4,2.839025418379213,Smp_317510.1,4,Smp_317510.1; Smp_055870.2; Smp_314280.1; Smp_154900.1; Smp_084180.1; Smp_022320.2; Smp_203090.1; Smp_307630.1; Smp_312620.1; Smp_323420.1
positiva,18,13,0,4.923076923076923,6.0,8,4.85231874656901,Smp_319930.1,8,Smp_319930.1; Smp_322350.1; Smp_242860.2; Smp_104500.2; Smp_335110.1; Smp_348100.1; Smp_150230.2; Smp_343170.2; Smp_211020.2; Smp_049230.1
positiva,11,8,0,5.5,6.0,8,5.409003788800197,Smp_088420.1,8,Smp_088420.1; Smp_146150.1; Smp_055090.3; Smp_326650.1; Smp_331190.1; Smp_332090.1; Smp_307220.3; Smp_046060.2
positiva,8,5,0,3.6,4.0,4,3.561845721141501,Smp_211020.1,4,Smp_211020.1; Smp_335370.1; Smp_170770.2; Smp_196880.2; Smp_205300.2
positiva,19,4,0,3.0,3.0,3,2.977263590300551,Smp_181730.1,3,Smp_181730.1; Smp_121990.2; Smp_313630.1; Smp_317170.1
positiva,4,4,0,2.5,2.5,3,2.462268714647122,Smp_141010.2,3,Smp_141010.2; Smp_328620.2; Smp_058140.1; Smp_056460.1
positiva,6,3,0,2.0,2.0,2,1.9782511142455155,Smp_130520.1,2,Smp_130520.1; Smp_246050.3; Smp_345970.1
positiva,1,3,0,1.3333333333333333,1.0,2,1.3156113522797803,Smp_179390.1,2,Smp_179390.1; Smp_320100.1; Smp_346960.1
positiva,2,2,0,1.0,1.0,1,0.979325833261632,Smp_335670.1,1,Smp_335670.1; Smp_348240.1
positiva,9,2,0,1.0,1.0,1,0.9958063610328264,Smp_193680.1,1,Smp_193680.1; Smp_335785.1
positiva,13,2,0,1.0,1.0,1,0.998716877746149,Smp_051670.1,1,Smp_051670.1; Smp_346380.2
positiva,17,2,0,1.0,1.0,1,0.9777669993243636,Smp_245600.2,1,Smp_245600.2; Smp_319970.1
negativa,5,74,8,6.472972972972973,5.0,28,6.378477856101968,Smp_302310.2,28,Smp_302310.2; Smp_017710.1; Smp_122790.2; Smp_347540.2; Smp_335380.1; Smp_055870.2; Smp_323420.1; Smp_203090.1; Smp_312620.1; Smp_317510.1
negativa,6,58,5,7.724137931034483,7.0,26,7.606858939782442,Smp_060620.1,26,Smp_060620.1; Smp_327370.1; Smp_032670.1; Smp_082410.1; Smp_318100.1; Smp_340300.2; Smp_019690.2; Smp_043500.2; Smp_150000.1; Smp_326770.2
