rede,glay,tema_funcional,n_genes
negativa,1,membrana_superficie,2
negativa,1,outro_indefinido,2
negativa,1,regulacao_genica,1
negativa,2,outro_indefinido,4
negativa,2,membrana_superficie,1
negativa,3,nao_caracterizado,2
negativa,3,outro_indefinido,2
negativa,4,outro_indefinido,3
negativa,4,mitocondria_energia,1
negativa,4,nao_caracterizado,1
negativa,5,outro_indefinido,7
negativa,5,nao_caracterizado,2
negativa,5,membrana_superficie,1
negativa,6,outro_indefinido,13
negativa,6,nao_caracterizado,4
negativa,6,regulacao_genica,2
negativa,6,lipidios_membrana,1
negativa,6,membrana_superficie,1
negativa,6,mitocondria_energia,1
negativa,6,proteolise,1
negativa,6,secrecao_interacao_hospedeiro,1
negativa,7,outro_indefinido,4
negativa,7,nao_caracterizado,1
negativa,8,membrana_superficie,1
negativa,8,outro_indefinido,1
negativa,8,proteolise,1
negativa,9,outro_indefinido,3
negativa,9,mitocondria_energia,1
negativa,9,regulacao_genica,1
negativa,10,secrecao_interacao_hospedeiro,3
negativa,10,membrana_superficie,1
negativa,10,outro_indefinido,1
negativa,11,outro_indefinido,5
negativa,11,nao_caracterizado,1
negativa,11,regulacao_genica,1
negativa,12,nao_caracterizado,2
negativa,12,outro_indefinido,2
negativa,12,regulacao_genica,1
positiva,1,nao_caracterizado,1
positiva,1,outro_indefinido,1
positiva,1,secrecao_interacao_hospedeiro,1
positiva,2,mitocondria_energia,1
positiva,2,nao_caracterizado,1
positiva,3,outro_indefinido,4
positiva,3,regulacao_genica,1
positiva,4,outro_indefinido,2
positiva,4,membrana_superficie,1
positiva,4,nao_caracterizado,1
positiva,5,outro_indefinido,4
positiva,5,membrana_superficie,1
positiva,6,outro_indefinido,2
positiva,6,regulacao_genica,1
positiva,7,outro_indefinido,5
positiva,8,outro_indefinido,4
positiva,8,lipidios_membrana,1
positiva,9,nao_caracterizado,1
positiva,9,secrecao_interacao_hospedeiro,1
positiva,10,outro_indefinido,4
positiva,10,nao_caracterizado,1
positiva,11,outro_indefinido,3
positiva,11,nao_caracterizado,2
positiva,12,secrecao_interacao_hospedeiro,4
positiva,12,nao_caracterizado,1
positiva,13,outro_indefinido,1
positiva,13,secrecao_interacao_hospedeiro,1
positiva,14,nao_caracterizado,3
positiva,14,proteolise,1
positiva,14,secrecao_interacao_hospedeiro,1
positiva,15,regulacao_genica,2
positiva,15,membrana_superficie,1
positiva,15,nao_caracterizado,1
positiva,15,secrecao_interacao_hospedeiro,1
positiva,16,outro_indefinido,32
positiva,16,regulacao_genica,6
positiva,16,mitocondria_energia,4
positiva,16,lipidios_membrana,2
positiva,16,membrana_superficie,2
positiva,16,nao_caracterizado,2
positiva,16,secrecao_interacao_hospedeiro,2
positiva,17,membrana_superficie,1
positiva,17,outro_indefinido,1
positiva,18,outro_indefinido,3
positiva,18,mitocondria_energia,1
positiva,18,secrecao_interacao_hospedeiro,1
positiva,19,proteolise,2
positiva,19,nao_caracterizado,1
positiva,19,outro_indefinido,1
