Name,SRR1140994,SRR1140995,SRR1142422,SRR1142423
Smp_000020.1,321.0,928.96,1145.987,1415.0
Smp_000030.1,1353.0,4311.0,4110.0,5969.0
Smp_000040.1,446.0,1547.0,1334.0,2171.0
Smp_000050.1,29.0,63.0,79.0,75.0
Smp_000070.1,297.0,899.0,1048.0,1225.0
Smp_000075.1,0.0,0.0,0.0,2.0
Smp_000080.1,0.0,9.973,14.027,10.996
Smp_000100.1,644.0,1518.0,1992.0,3010.0
Smp_000110.1,334.0,969.0,1109.0,1273.0
Smp_000130.1,490.0,1290.0,1505.0,2263.0
Smp_000150.1,1045.0,3068.648,2655.052,4008.678
Smp_000160.1,31.293,109.061,88.0,159.02
Smp_000180.1,2.0,16.0,42.0,34.0
Smp_000190.1,10.0,55.0,66.0,73.0
Smp_000200.1,82.0,391.0,274.0,401.0
Smp_000230.1,162.014,654.168,537.0,1226.011
Smp_000240.1,1379.0,4485.0,4147.0,5079.0
Smp_000250.1,0.0,0.0,0.0,0.0
Smp_000260.1,754.0,2105.0,2279.0,2605.0
Smp_000270.1,0.0,0.0,4.0,0.0
Smp_000280.1,0.0,2.0,0.0,0.0
Smp_000300.1,135.0,616.0,476.0,664.0
Smp_000310.1,588.0,1684.0,1513.0,1725.0
Smp_000320.1,64.0,156.0,116.0,242.0
Smp_000340.1,16.0,48.0,27.0,47.0
Smp_000370.1,153.973,345.0,348.013,375.877
Smp_000390.1,0.0,0.0,0.0,0.0
Smp_000420.1,0.0,0.0,0.0,0.0
Smp_000430.1,0.0,2.0,0.0,0.0
Smp_000470.1,228.0,816.0,632.0,1007.0
Smp_000480.1,6.838,118.991,99.254,88.414
Smp_000480.2,225.168,489.214,567.118,661.68
Smp_000500.1,28.0,705.0,238.0,214.0
Smp_000510.1,105.0,290.0,338.0,364.0
Smp_000560.1,0.0,0.0,0.0,0.0
Smp_000580.1,50.0,264.0,205.0,291.0
Smp_000590.1,130.828,603.023,450.832,576.321
Smp_000600.1,111.0,246.0,258.0,207.0
Smp_000620.1,6.0,16.0,9.0,9.0
Smp_000630.1,28.0,118.0,46.0,98.0
Smp_000640.1,327.0,1008.0,934.0,946.0
Smp_000650.1,154.0,519.0,444.0,663.0
Smp_000660.1,733.124,1994.864,1691.516,1772.767
Smp_000670.1,111.0,351.0,358.0,626.0
Smp_000680.1,78.0,237.0,207.0,203.0
Smp_000690.1,37.028,85.009,48.386,64.005
Smp_000700.1,266.043,848.434,701.638,1329.136
Smp_000710.1,121.0,523.0,476.0,742.0
Smp_000720.1,161.0,756.362,632.001,1137.399
Smp_000740.1,644.0,2473.0,1669.0,2231.0
Smp_000755.1,78.0,179.0,118.0,164.0
Smp_000770.1,0.0,0.0,0.0,0.0
Smp_000790.1,570.105,467.331,733.539,504.33
Smp_000790.2,94.895,1407.669,868.461,2174.67
Smp_000810.1,90.0,289.0,251.0,334.0
Smp_000820.1,152.253,581.672,431.4,339.936
Smp_000820.2,13.747,66.328,52.6,46.064
Smp_000830.1,0.0,3.0,3.0,2.0
Smp_000850.1,65.0,226.0,176.0,212.0
Smp_000870.1,86.0,261.0,310.0,278.0
Smp_000880.1,1062.0,2710.0,2077.0,3064.0
Smp_000900.1,39.0,130.0,146.0,144.0
Smp_000910.1,71.0,211.0,238.0,328.0
Smp_000950.1,9.0,33.001,30.0,63.0
Smp_000980.1,264.0,769.0,861.0,1211.0
Smp_000990.1,252.0,885.0,790.0,1135.0
Smp_001000.1,20.0,153.989,65.0,100.001
Smp_001020.1,290.0,780.0,930.0,1251.994
Smp_001030.1,65.0,146.0,163.0,223.0
Smp_001040.1,397.0,1287.0,1149.0,1852.0
Smp_001070.1,66.0,103.0,164.0,209.0
Smp_001080.1,167.0,410.0,392.0,465.0
Smp_001090.1,205.739,426.348,681.667,782.146
Smp_001095.1,73.0,232.0,239.0,311.0
Smp_001100.1,39.0,179.0,118.0,343.0
Smp_001120.1,41.0,87.0,76.0,101.0
Smp_001160.1,38.0,190.0,146.0,173.0
Smp_001170.1,313.0,940.0,902.0,1066.0
Smp_001180.1,117.0,504.0,353.0,670.0
Smp_001210.1,45.0,68.0,97.0,103.0
Smp_001360.1,319.258,1287.924,1061.872,1496.947
Smp_001390.1,22.0,95.0,71.0,91.0
Smp_001410.1,82.0,227.0,262.0,313.0
Smp_001420.1,307.734,914.0,904.0,1185.998
Smp_001500.1,168.0,721.0,491.0,583.0
Smp_001530.1,144.0,395.0,435.0,545.0
Smp_001560.1,37.0,177.0,86.0,182.0
Smp_001590.1,107.0,454.0,336.0,339.0
Smp_001610.1,36.0,202.999,185.0,172.556
Smp_001640.1,123.0,423.0,332.0,437.0
Smp_001780.1,6.0,19.0,10.0,36.0
Smp_001830.1,398.0,1553.0,819.0,1126.0
Smp_001890.1,0.0,9.0,27.0,18.0
Smp_001900.1,2.014,18.096,16.048,28.262
Smp_001940.1,220.0,693.0,709.0,922.0
Smp_001950.1,142.0,480.0,478.0,552.837
Smp_001960.1,387.0,1025.0,1074.0,1110.0
Smp_001980.1,34.0,80.943,68.001,162.0
Smp_002010.1,15.0,96.0,63.0,59.0
Smp_002060.1,12.0,33.0,18.0,45.0
Smp_002070.1,6.0,40.0,31.0,33.0
Smp_002080.1,262.0,543.0,530.0,592.0
Smp_002100.1,52.0,118.0,117.0,204.0
Smp_002160.1,142.0,536.0,434.0,452.0
Smp_002180.1,706.0,2355.0,1590.0,2028.0
Smp_002230.1,306.0,917.0,851.0,866.0
Smp_002280.1,148.0,523.0,410.0,687.0
Smp_002380.1,40.0,158.0,175.0,192.0
Smp_002410.1,394.0,1443.0,1017.0,1135.0
Smp_002510.1,708.0,1192.0,1163.0,2008.0
Smp_002550.1,202.0,812.0,562.0,610.0
Smp_002600.1,72.0,225.758,214.0,385.402
Smp_002600.2,0.0,3.242,0.0,8.598
Smp_002630.1,5.399,16.278,31.799,12.287
Smp_002640.1,557.0,2042.0,1164.0,3178.0
Smp_002740.1,207.0,614.0,520.0,752.0
Smp_002820.1,1338.0,3854.0,4973.0,5726.0
Smp_002840.1,702.48,2282.226,2352.405,3249.234
Smp_002860.1,0.0,0.0,0.0,0.0
Smp_002870.1,57.0,165.0,181.0,173.0
Smp_002880.1,773.0,2438.0,1822.0,2958.0
Smp_002920.1,134.0,464.0,534.0,599.0
Smp_002950.1,20.0,107.0,88.0,86.0
Smp_003000.1,50.543,182.144,174.17,229.366
Smp_003130.1,132.0,494.0,412.0,514.0
Smp_003140.1,8.2,6.601,20.48,35.954
