source,target,correlation,abs_correlation,interaction,relation,edge_width
Smp_348100.1,Smp_328440.1,-0.9806871503925683,0.9806871503925683,coexpressao_negativa,negativa,0.9806871503925683
Smp_204420.1,Smp_318100.1,-0.97560541004654,0.97560541004654,coexpressao_negativa,negativa,0.97560541004654
Smp_204420.1,Smp_327370.1,-0.9841221220473388,0.9841221220473388,coexpressao_negativa,negativa,0.9841221220473388
Smp_204420.1,Smp_019690.2,-0.9791748809419331,0.9791748809419331,coexpressao_negativa,negativa,0.9791748809419331
Smp_204420.1,Smp_032670.1,-0.9885660711721797,0.9885660711721797,coexpressao_negativa,negativa,0.9885660711721797
Smp_204420.1,Smp_043500.2,-0.9783425529258615,0.9783425529258615,coexpressao_negativa,negativa,0.9783425529258615
Smp_204420.1,Smp_082410.1,-0.990611465743277,0.990611465743277,coexpressao_negativa,negativa,0.990611465743277
Smp_204420.1,Smp_000790.1,-0.986157392550485,0.986157392550485,coexpressao_negativa,negativa,0.986157392550485
Smp_204420.1,Smp_340300.2,-0.9927198302694509,0.9927198302694509,coexpressao_negativa,negativa,0.9927198302694509
Smp_204420.1,Smp_150000.1,-0.9710861990124937,0.9710861990124937,coexpressao_negativa,negativa,0.9710861990124937
Smp_247660.1,Smp_319970.1,-0.9867951571291029,0.9867951571291029,coexpressao_negativa,negativa,0.9867951571291029
Smp_247660.1,Smp_245600.2,-0.9847082535831672,0.9847082535831672,coexpressao_negativa,negativa,0.9847082535831672
Smp_323230.1,Smp_196880.2,-0.9715887890093968,0.9715887890093968,coexpressao_negativa,negativa,0.9715887890093968
Smp_323230.1,Smp_335370.1,-0.9732691713267593,0.9732691713267593,coexpressao_negativa,negativa,0.9732691713267593
Smp_323230.1,Smp_332600.2,-0.9759440094845053,0.9759440094845053,coexpressao_negativa,negativa,0.9759440094845053
Smp_323230.1,Smp_170770.2,-0.9708919041293953,0.9708919041293953,coexpressao_negativa,negativa,0.9708919041293953
Smp_204370.1,Smp_164270.2,-0.9922891867528909,0.9922891867528909,coexpressao_negativa,negativa,0.9922891867528909
Smp_204370.1,Smp_017470.1,-0.9985202127436934,0.9985202127436934,coexpressao_negativa,negativa,0.9985202127436934
Smp_204370.1,Smp_349140.1,-0.9750094510931558,0.9750094510931558,coexpressao_negativa,negativa,0.9750094510931558
Smp_204370.1,Smp_327460.1,-0.9706186686194943,0.9706186686194943,coexpressao_negativa,negativa,0.9706186686194943
Smp_204370.1,Smp_074390.1,-0.9908394227999986,0.9908394227999986,coexpressao_negativa,negativa,0.9908394227999986
Smp_204370.1,Smp_328910.1,-0.9993982203459988,0.9993982203459988,coexpressao_negativa,negativa,0.9993982203459988
Smp_204370.1,Smp_028210.2,-0.9815626077082429,0.9815626077082429,coexpressao_negativa,negativa,0.9815626077082429
Smp_348820.2,Smp_245600.2,-0.9848470142591171,0.9848470142591171,coexpressao_negativa,negativa,0.9848470142591171
Smp_181730.1,Smp_326490.1,-0.9712772440723538,0.9712772440723538,coexpressao_negativa,negativa,0.9712772440723538
Smp_331370.1,Smp_122790.2,-0.9802383105211459,0.9802383105211459,coexpressao_negativa,negativa,0.9802383105211459
Smp_331370.1,Smp_317510.1,-0.9803056175360962,0.9803056175360962,coexpressao_negativa,negativa,0.9803056175360962
Smp_331370.1,Smp_335380.1,-0.9790418589114068,0.9790418589114068,coexpressao_negativa,negativa,0.9790418589114068
Smp_331370.1,Smp_055870.2,-0.9951439052496158,0.9951439052496158,coexpressao_negativa,negativa,0.9951439052496158
Smp_331370.1,Smp_203090.1,-0.9934970377805971,0.9934970377805971,coexpressao_negativa,negativa,0.9934970377805971
Smp_204040.1,Smp_335785.1,-0.9987263339568505,0.9987263339568505,coexpressao_negativa,negativa,0.9987263339568505
Smp_204040.1,Smp_193680.1,-0.9946397127351495,0.9946397127351495,coexpressao_negativa,negativa,0.9946397127351495
Smp_134410.1,Smp_017710.1,-0.9941968761254572,0.9941968761254572,coexpressao_negativa,negativa,0.9941968761254572
Smp_134410.1,Smp_327370.1,-0.9745458598522607,0.9745458598522607,coexpressao_negativa,negativa,0.9745458598522607
Smp_134410.1,Smp_060620.1,-0.9940093852926772,0.9940093852926772,coexpressao_negativa,negativa,0.9940093852926772
Smp_134410.1,Smp_122790.2,-0.9929429983780439,0.9929429983780439,coexpressao_negativa,negativa,0.9929429983780439
Smp_134410.1,Smp_302310.2,-0.9982929192092466,0.9982929192092466,coexpressao_negativa,negativa,0.9982929192092466
Smp_134410.1,Smp_347540.2,-0.9815323196388629,0.9815323196388629,coexpressao_negativa,negativa,0.9815323196388629
Smp_084180.1,Smp_308755.1,-0.976626475263563,0.976626475263563,coexpressao_negativa,negativa,0.976626475263563
Smp_084180.1,Smp_200710.1,-0.9767235296220423,0.9767235296220423,coexpressao_negativa,negativa,0.9767235296220423
Smp_084180.1,Smp_317180.1,-0.9803248933270654,0.9803248933270654,coexpressao_negativa,negativa,0.9803248933270654
Smp_084180.1,Smp_319120.2,-0.9729980847180901,0.9729980847180901,coexpressao_negativa,negativa,0.9729980847180901
Smp_084180.1,Smp_133590.2,-0.9956320132315932,0.9956320132315932,coexpressao_negativa,negativa,0.9956320132315932
Smp_084180.1,Smp_340840.1,-0.9792396150059003,0.9792396150059003,coexpressao_negativa,negativa,0.9792396150059003
Smp_084180.1,Smp_071590.1,-0.9705935395867428,0.9705935395867428,coexpressao_negativa,negativa,0.9705935395867428
Smp_084180.1,Smp_173380.1,-0.9745406417566096,0.9745406417566096,coexpressao_negativa,negativa,0.9745406417566096
Smp_308755.1,Smp_316910.1,-0.995453078152535,0.995453078152535,coexpressao_negativa,negativa,0.995453078152535
Smp_308755.1,Smp_140260.1,-0.9874550746928505,0.9874550746928505,coexpressao_negativa,negativa,0.9874550746928505
Smp_010550.2,Smp_303350.1,-0.9724331725340417,0.9724331725340417,coexpressao_negativa,negativa,0.9724331725340417
Smp_010550.2,Smp_173320.2,-0.9867578343774065,0.9867578343774065,coexpressao_negativa,negativa,0.9867578343774065
Smp_010550.2,Smp_331440.1,-0.9841929602327198,0.9841929602327198,coexpressao_negativa,negativa,0.9841929602327198
Smp_010550.2,Smp_054620.3,-0.9790525090939778,0.9790525090939778,coexpressao_negativa,negativa,0.9790525090939778
Smp_010550.2,Smp_058140.3,-0.9850693197708009,0.9850693197708009,coexpressao_negativa,negativa,0.9850693197708009
Smp_182600.1,Smp_133590.1,-0.9785974768583106,0.9785974768583106,coexpressao_negativa,negativa,0.9785974768583106
Smp_182600.1,Smp_335785.1,-0.9925141731276438,0.9925141731276438,coexpressao_negativa,negativa,0.9925141731276438
Smp_182600.1,Smp_193680.1,-0.9804066782401157,0.9804066782401157,coexpressao_negativa,negativa,0.9804066782401157
Smp_182600.1,Smp_341710.1,-0.9856989267983737,0.9856989267983737,coexpressao_negativa,negativa,0.9856989267983737
Smp_200710.1,Smp_316910.1,-0.9955520034452066,0.9955520034452066,coexpressao_negativa,negativa,0.9955520034452066
Smp_200710.1,Smp_140260.1,-0.9875532051667101,0.9875532051667101,coexpressao_negativa,negativa,0.9875532051667101
Smp_326650.1,Smp_307630.1,-0.9917129511700732,0.9917129511700732,coexpressao_negativa,negativa,0.9917129511700732
Smp_326650.1,Smp_022320.2,-0.9890091316730545,0.9890091316730545,coexpressao_negativa,negativa,0.9890091316730545
Smp_326650.1,Smp_314280.1,-0.9787515012949013,0.9787515012949013,coexpressao_negativa,negativa,0.9787515012949013
Smp_322700.1,Smp_017710.1,-0.9825127796603885,0.9825127796603885,coexpressao_negativa,negativa,0.9825127796603885
Smp_322700.1,Smp_122790.2,-0.9803883672326419,0.9803883672326419,coexpressao_negativa,negativa,0.9803883672326419
Smp_322700.1,Smp_335380.1,-0.9875322526913909,0.9875322526913909,coexpressao_negativa,negativa,0.9875322526913909
Smp_322700.1,Smp_302310.2,-0.9891907171049559,0.9891907171049559,coexpressao_negativa,negativa,0.9891907171049559
Smp_322700.1,Smp_347540.2,-0.9838309513795934,0.9838309513795934,coexpressao_negativa,negativa,0.9838309513795934
Smp_322700.2,Smp_141010.2,-0.9759006722997096,0.9759006722997096,coexpressao_negativa,negativa,0.9759006722997096
Smp_322700.2,Smp_328620.2,-0.9765309272944487,0.9765309272944487,coexpressao_negativa,negativa,0.9765309272944487
Smp_322700.2,Smp_058140.1,-0.9994849480478802,0.9994849480478802,coexpressao_negativa,negativa,0.9994849480478802
Smp_340300.1,Smp_326770.2,-0.9712792033932731,0.9712792033932731,coexpressao_negativa,negativa,0.9712792033932731
Smp_340300.1,Smp_017710.1,-0.9767718807516771,0.9767718807516771,coexpressao_negativa,negativa,0.9767718807516771
Smp_340300.1,Smp_327370.1,-0.9891612313501122,0.9891612313501122,coexpressao_negativa,negativa,0.9891612313501122
Smp_340300.1,Smp_060620.1,-0.9974703094107991,0.9974703094107991,coexpressao_negativa,negativa,0.9974703094107991
Smp_340300.1,Smp_122790.2,-0.9945802946543185,0.9945802946543185,coexpressao_negativa,negativa,0.9945802946543185
Smp_340300.1,Smp_032670.1,-0.97695758046216,0.97695758046216,coexpressao_negativa,negativa,0.97695758046216
Smp_340300.1,Smp_302310.2,-0.9833751587843578,0.9833751587843578,coexpressao_negativa,negativa,0.9833751587843578
Smp_302870.1,Smp_326770.2,-0.9742287535557642,0.9742287535557642,coexpressao_negativa,negativa,0.9742287535557642
Smp_302870.1,Smp_017710.1,-0.974169136884995,0.974169136884995,coexpressao_negativa,negativa,0.974169136884995
Smp_302870.1,Smp_327370.1,-0.9897371223700938,0.9897371223700938,coexpressao_negativa,negativa,0.9897371223700938
Smp_302870.1,Smp_060620.1,-0.9969086139943807,0.9969086139943807,coexpressao_negativa,negativa,0.9969086139943807
Smp_302870.1,Smp_122790.2,-0.9937924140129291,0.9937924140129291,coexpressao_negativa,negativa,0.9937924140129291
Smp_302870.1,Smp_032670.1,-0.9789050955909578,0.9789050955909578,coexpressao_negativa,negativa,0.9789050955909578
Smp_302870.1,Smp_302310.2,-0.9809979018143286,0.9809979018143286,coexpressao_negativa,negativa,0.9809979018143286
Smp_200770.1,Smp_196880.2,-0.9927478127254122,0.9927478127254122,coexpressao_negativa,negativa,0.9927478127254122
Smp_200770.1,Smp_335370.1,-0.9825138761345749,0.9825138761345749,coexpressao_negativa,negativa,0.9825138761345749
Smp_200770.1,Smp_170770.2,-0.992035751256436,0.992035751256436,coexpressao_negativa,negativa,0.992035751256436
Smp_200770.1,Smp_211020.1,-0.9761917082935235,0.9761917082935235,coexpressao_negativa,negativa,0.9761917082935235
Smp_323360.1,Smp_017710.1,-0.9877034133305834,0.9877034133305834,coexpressao_negativa,negativa,0.9877034133305834
Smp_323360.1,Smp_318100.1,-0.9849936125782551,0.9849936125782551,coexpressao_negativa,negativa,0.9849936125782551
Smp_323360.1,Smp_302310.2,-0.9775958811527434,0.9775958811527434,coexpressao_negativa,negativa,0.9775958811527434
Smp_323360.1,Smp_347540.2,-0.9870669003026651,0.9870669003026651,coexpressao_negativa,negativa,0.9870669003026651
Smp_323360.1,Smp_328360.1,-0.9811657559013779,0.9811657559013779,coexpressao_negativa,negativa,0.9811657559013779
Smp_323360.1,Smp_150000.1,-0.9877653312469645,0.9877653312469645,coexpressao_negativa,negativa,0.9877653312469645
Smp_152630.1,Smp_017710.1,-0.9911170143969629,0.9911170143969629,coexpressao_negativa,negativa,0.9911170143969629
Smp_152630.1,Smp_060620.1,-0.9824424329477489,0.9824424329477489,coexpressao_negativa,negativa,0.9824424329477489
Smp_152630.1,Smp_122790.2,-0.9897415786225224,0.9897415786225224,coexpressao_negativa,negativa,0.9897415786225224
