gene,degree,weighted_degree,mean_log_expression,variance_log_expression,hub_status
Smp_302310.2,28,27.67987856436857,2.038421776349284,0.8404553233455235,hub
Smp_017710.1,28,27.618825593062176,2.267657350028229,1.6791758883744086,hub
Smp_122790.2,26,25.657327727429706,2.059921082965108,1.4722776704329477,hub
Smp_060620.1,26,25.628526291963503,0.8828747632236191,1.5550939993732475,hub
Smp_347540.2,25,24.67645845557082,0.4904564920166311,0.7197940299901896,hub
Smp_335380.1,24,23.691757041997054,1.1474090943394775,1.101146027239278,hub
Smp_327370.1,17,16.754165300745886,1.1514008822226718,1.6431234655380222,hub
Smp_032670.1,17,16.749865440724687,0.9264215728151068,1.0236258168139434,hub
Smp_055870.2,16,15.812377698359237,3.9450848553732456,0.7363535602432628,hub
Smp_082410.1,16,15.747204275950338,1.1362429633033138,0.923066820000324,hub
Smp_323420.1,14,13.749332683191545,0.9846581527434725,0.8463064646098232,hub
Smp_318100.1,14,13.744316811149977,1.236062621337813,1.6522497807829521,hub
Smp_328620.2,13,12.824530710147691,0.5842319674132046,0.8670852944364337,hub
Smp_203090.1,13,12.791972831566856,0.6437219845810968,0.7213707312237806,hub
Smp_332600.2,13,12.710250393955496,1.1611025239821269,1.0392605662069117,hub
Smp_340300.2,12,11.847795246789836,3.872901243591243,0.7457801086254747,non_hub
Smp_019690.2,12,11.80569048972908,3.8380919383806438,1.0998488214958655,non_hub
Smp_043500.2,12,11.805267652299866,2.1344931955961344,1.0161764417515895,non_hub
Smp_150000.1,12,11.803349052555538,2.2664126630851666,0.7081549867137146,non_hub
Smp_326770.2,12,11.792630712513331,1.7320870401460629,2.7918098246903313,non_hub
Smp_312620.1,12,11.764621805174869,1.1056956593752405,1.1973285962383942,non_hub
Smp_155320.1,11,10.866326524420785,3.681487834230805,1.5273445006080475,non_hub
Smp_331440.1,11,10.863088416591863,1.4106011957287217,1.1991574237666285,non_hub
Smp_000790.1,11,10.853101961475971,3.3282112811919156,0.834356990384452,non_hub
Smp_200460.1,11,10.844664788110384,2.209280837912451,0.7290257663192442,non_hub
Smp_141010.2,11,10.839018134126746,0.6291734173777038,0.9198859297331835,non_hub
Smp_156910.2,11,10.807566831236855,2.853544183779615,3.8083213100381372,non_hub
Smp_348790.2,10,9.887770498929875,2.07149804908858,2.416731476393506,non_hub
Smp_213510.1,10,9.862825331834879,1.7437942380632432,2.098198389340714,non_hub
Smp_322760.1,10,9.861717342571609,1.323390200105487,1.1415584469404962,non_hub
Smp_328360.1,10,9.823364119999605,2.9639081295192655,0.7101058534619523,non_hub
Smp_173320.2,10,9.815724282618076,2.2883172111095367,2.7855267437285565,non_hub
Smp_054620.3,10,9.811970568415589,1.1943199060598975,0.8105832454615491,non_hub
Smp_316910.1,9,8.927467387941213,0.8338502132757453,0.9284969914440505,non_hub
Smp_347560.1,9,8.902872099277557,1.1306070455024617,0.7781686115948089,non_hub
Smp_175880.1,9,8.897758326548201,1.8465795754158592,1.805503992520987,non_hub
Smp_317510.1,9,8.889152496067693,0.8528302134993394,1.1608769146668394,non_hub
Smp_130470.2,9,8.874412243007098,1.5093792905513146,1.0892425230487277,non_hub
Smp_150230.1,9,8.861224986162624,1.445346992574605,1.2822196003059878,non_hub
Smp_310980.1,9,8.847410179780516,0.625338478650778,1.0796695612535836,non_hub
Smp_204420.1,9,8.84638592470956,4.392020251946428,10.131252231486295,non_hub
Smp_196880.2,8,7.894316869452803,1.2475145948499935,2.0783630581912393,non_hub
Smp_140260.1,8,7.893718963620921,0.7641686072398407,0.7924825226657785,non_hub
Smp_170770.2,8,7.88966734226963,0.8370911428943302,0.9371279004314724,non_hub
Smp_193680.1,8,7.886381019086139,3.152905180664644,0.7253864083868268,non_hub
Smp_179970.1,8,7.885175593889611,3.113658091689964,0.8489172833557399,non_hub
Smp_266830.2,8,7.884291514248374,1.4131248868149817,1.6487948433738389,non_hub
Smp_347900.1,8,7.883782280115677,1.341527334073159,0.94439060736293,non_hub
Smp_130520.4,8,7.86272006781469,1.2564738139432852,0.7665259246038149,non_hub
Smp_317240.1,8,7.861584633411438,3.2906562339445475,0.7481687401584428,non_hub
Smp_314280.1,8,7.858171002081466,1.7451571364758005,0.8349114284339425,non_hub
Smp_322980.1,8,7.851837387989796,2.2855334002339887,0.8314005384440071,non_hub
Smp_154900.1,8,7.845384511851061,1.103304828240736,0.7961872603516312,non_hub
Smp_084180.1,8,7.826678792511607,2.036458694357409,5.7536074082622575,non_hub
Smp_133590.1,8,7.820404264000034,2.5778814887431967,1.2231409135901241,non_hub
Smp_335785.1,7,6.959590685088277,5.672785672220916,1.0864032917473323,non_hub
Smp_347490.1,7,6.915687618618335,1.2741724089196789,1.2073707209115145,non_hub
Smp_204370.1,7,6.908237770063475,2.4425608656372324,7.96385723602367,non_hub
Smp_245600.2,7,6.904659074374904,0.4920882457650788,0.7531085605748866,non_hub
Smp_058140.1,7,6.901290101420205,1.9436637982742435,0.8163579672114246,non_hub
Smp_205710.1,7,6.899372755836437,2.804467907202899,3.5408691238280756,non_hub
Smp_340300.1,7,6.889595658806697,3.163202554653359,4.633215156162232,non_hub
Smp_302870.1,7,6.888739038223449,3.149569386895288,4.61740765145396,non_hub
Smp_023940.1,7,6.884705927933718,0.9385116130826122,2.2591167161700967,non_hub
Smp_164270.1,7,6.876167799557706,1.5188453866049754,1.3377663126425272,non_hub
Smp_303350.1,7,6.871259084473074,2.4580412555557754,2.9532668253746386,non_hub
Smp_058140.3,7,6.867133125157327,1.646525871104413,0.7896545292161975,non_hub
Smp_328910.1,6,5.954985689084139,3.037104176122709,0.7364648362762388,non_hub
Smp_017470.1,6,5.9527663303727225,2.837948444743218,1.6988093639029038,non_hub
Smp_246970.2,6,5.942895248174166,0.8170068312364553,0.8974063003507147,non_hub
Smp_133590.3,6,5.938418248715971,1.4249064158144247,2.7457322092860994,non_hub
Smp_134410.1,6,5.935520358496548,3.83786800689414,6.592200215093551,non_hub
Smp_022320.3,6,5.935377166346951,2.0341557758107154,1.8399417696037104,non_hub
Smp_319970.1,6,5.932237215021086,0.9060917039888262,1.7159974942354193,non_hub
Smp_074390.1,6,5.932170577304345,3.1757641760845505,0.8017101075313513,non_hub
Smp_181080.1,6,5.922879370538266,0.8137203823855726,0.9061374310799394,non_hub
