gene,degree,weighted_degree,mean_log_expression,variance_log_expression,hub_status
Smp_322700.1,33,32.5797802005595,3.241844614252172,4.794368740171649,hub
Smp_341200.2,32,31.584916694805656,2.219415759943121,1.183640891253307,hub
Smp_152630.1,31,30.63858776020884,3.0080767274101636,4.065358675268367,hub
Smp_139080.2,31,30.635288385669863,1.6310051266214054,1.1999155931331145,hub
Smp_336310.2,30,29.652179371942637,1.594010015877928,1.1368962720555846,hub
Smp_012350.1,30,29.641295609474785,1.5642269384392768,1.1089695298377824,hub
Smp_149380.2,30,29.562008502505677,1.426396834403835,0.9693012604950978,hub
Smp_210520.2,30,29.545545101117582,1.512737248533854,1.1063180075612935,hub
Smp_047870.1,29,28.69339040810334,2.9298889539155075,3.843212004066856,hub
Smp_246790.1,29,28.689008840395925,2.368756531406394,2.5090717354917116,hub
Smp_004690.2,28,27.598731335220734,4.988610451751297,0.9164137248987236,hub
Smp_134410.1,27,26.68537188072142,3.83786800689414,6.592200215093551,hub
Smp_302270.1,27,26.656641736526492,4.825060156081327,0.9296788922646332,hub
Smp_320400.1,27,26.60897732341666,1.5605287290254428,1.1336540350731448,hub
Smp_331170.2,26,25.686265698136452,1.4661828703806288,0.9776086264600666,hub
Smp_312610.1,26,25.678324186923003,1.6855535868748794,1.2955679251913763,hub
Smp_133860.1,26,25.666081030030657,2.2209861017135095,1.220810956247516,hub
Smp_041500.2,26,25.656835195092892,4.424188576886111,0.9098294533142041,hub
Smp_340430.1,26,25.650786450567466,2.943146983105005,3.8974631304856477,hub
Smp_105180.2,26,25.627231463623453,1.8910116526136642,1.5974316608386234,hub
Smp_022320.3,25,24.72177275322792,2.0341557758107154,1.8399417696037104,non_hub
Smp_302040.3,25,24.681476495853833,1.862349241097133,1.5938026296797823,non_hub
Smp_348840.2,25,24.659136182488126,2.362651557493697,2.5493656687556356,non_hub
Smp_331370.1,25,24.528945746704334,3.6911756677947043,6.831371133817124,non_hub
Smp_063530.2,23,22.679100221045406,1.3956345001490988,0.9254551906302203,non_hub
Smp_345290.1,23,22.630019089782998,1.9024200976963983,1.7207889171468962,non_hub
Smp_029210.2,22,21.691668086084565,1.2371829809469344,0.7214225319292861,non_hub
Smp_019690.1,21,20.704231684571027,5.117179755781546,0.8796448685226177,non_hub
Smp_340300.1,21,20.703046153688156,3.163202554653359,4.633215156162232,non_hub
Smp_194370.1,21,20.69096194633307,1.3912845400890559,1.008284374098478,non_hub
Smp_302870.1,21,20.685431110099135,3.149569386895288,4.61740765145396,non_hub
Smp_125250.1,21,20.670769879929978,1.5136852206745322,1.2049525833514598,non_hub
Smp_332780.1,19,18.778160753639874,1.8962076687015046,1.800709887299889,non_hub
Smp_165350.1,19,18.775997647547992,1.6297455017878502,1.3323788908968617,non_hub
Smp_332910.2,19,18.76622438305536,1.7910753317288926,1.6271881160849748,non_hub
Smp_205710.1,19,18.717609204305607,2.804467907202899,3.5408691238280756,non_hub
Smp_000790.2,19,18.665815049328195,3.658611787905585,1.0053716577140408,non_hub
Smp_244860.1,18,17.770600937297758,1.5125559021716615,0.8025176710546716,non_hub
Smp_005190.3,17,16.712790942475582,1.5143762533266847,1.1085623114914658,non_hub
Smp_336340.1,16,15.772240123385782,1.8591121860074133,0.7073870335431929,non_hub
Smp_345970.2,16,15.728145751343568,1.7555149815546296,1.4685569342979532,non_hub
Smp_156910.2,16,15.688024134685808,2.853544183779615,3.8083213100381372,non_hub
Smp_127870.1,15,14.806789235264938,1.194362711339164,0.8029350494179024,non_hub
Smp_017470.2,15,14.805369801285076,2.1397697149653667,2.243509876650707,non_hub
Smp_204420.1,15,14.804725579729459,4.392020251946428,10.131252231486295,non_hub
Smp_200460.1,15,14.771538868844221,2.209280837912451,0.7290257663192442,non_hub
Smp_172510.2,15,14.758618502527854,1.6792163047238238,1.5398253171404856,non_hub
Smp_130520.4,14,13.840224959365296,1.2564738139432852,0.7665259246038149,non_hub
Smp_317240.1,14,13.823099501958309,3.2906562339445475,0.7481687401584428,non_hub
Smp_130470.2,14,13.760842656542884,1.5093792905513146,1.0892425230487277,non_hub
Smp_331590.1,14,13.74560287078412,1.4073764227246846,1.0403209297926816,non_hub
Smp_131680.2,13,12.83076662083131,1.4245910753864717,1.0988103798778686,non_hub
Smp_330170.1,13,12.802644637320338,2.869002397583876,4.04721168981496,non_hub
Smp_319450.1,13,12.78306017244594,2.3346032278174897,2.5757143086595407,non_hub
Smp_040710.2,13,12.742774560882026,1.0430013526681843,1.0135328838189284,non_hub
Smp_323440.1,12,11.885399193449993,14.426452228493808,1.8986820880545334,non_hub
Smp_309730.1,12,11.877912263628053,1.0649804995567678,1.6771556710838214,non_hub
Smp_341160.2,12,11.876086259161161,1.5307597507188098,3.397944865559112,non_hub
Smp_323270.2,12,11.872726941057582,6.954015399767719,1.5132516300467274,non_hub
Smp_323230.1,12,11.861671262197875,2.4432424420291152,8.418126881348664,non_hub
Smp_170910.1,12,11.853960424360732,1.0352114845163811,1.7209319789144348,non_hub
Smp_051000.2,12,11.85124895160987,1.9610181233405188,1.712999526058657,non_hub
Smp_323360.1,12,11.841817956180837,2.9954047935029307,4.128957682714255,non_hub
Smp_058050.1,12,11.840425401111752,2.4277448673056354,0.7313660191318455,non_hub
Smp_150080.2,12,11.839365035615973,1.8757120914057457,1.6023193870640744,non_hub
Smp_106010.1,12,11.838655459172507,1.4267368971319379,1.1555732170898836,non_hub
Smp_020450.2,12,11.838324062325402,2.530642334620782,2.8520693441658964,non_hub
Smp_164270.1,12,11.822197717669091,1.5188453866049754,1.3377663126425272,non_hub
Smp_246050.2,12,11.75109525308397,1.6764233860508,1.4515275925892752,non_hub
Smp_323320.1,11,10.909782788848675,9.725989031894601,2.0021952963349157,non_hub
Smp_201340.1,11,10.891719246143944,0.8246972804758568,1.047911736242035,non_hub
Smp_093430.1,11,10.89158045849424,1.8708525687368578,1.5708599897396371,non_hub
Smp_320200.1,11,10.888799382153861,1.978412082748108,1.7647380271527056,non_hub
Smp_051000.1,11,10.888304241742201,1.2464697657334831,2.417278852306414,non_hub
Smp_141290.1,11,10.88725617932592,0.6730060822018242,0.706331948739603,non_hub
Smp_023940.2,11,10.87267410882592,2.143305792470051,2.0425821382552054,non_hub
Smp_323300.1,11,10.862757892312473,10.1624116599177,1.8395831565028828,non_hub
Smp_335135.1,11,10.85391374065475,10.789647742658456,2.0040488882440184,non_hub
Smp_323190.1,11,10.853368395626795,7.419099278269775,1.7247567838186317,non_hub
Smp_335130.1,11,10.850941547029134,11.17223836093696,1.8810557068154843,non_hub
Smp_323270.1,11,10.85022645273804,7.826894507054435,1.964296656430984,non_hub
Smp_062020.1,11,10.837380362683316,1.479685815059465,1.026728686843284,non_hub
Smp_141010.3,11,10.833040495662893,1.2680231844856333,0.7421717785103983,non_hub
Smp_061250.2,11,10.822662616260956,1.2174862794125016,0.7247837164134864,non_hub
Smp_346930.2,11,10.80856173212699,2.6610592905776347,1.3734386610285014,non_hub
Smp_176260.1,11,10.808284682163272,1.349164495536879,1.102319891087235,non_hub
Smp_152290.1,10,9.89688009334919,1.3353095584916448,0.7952592633603442,non_hub
Smp_319290.1,10,9.878473622591175,9.221745527498403,1.8962764906309113,non_hub
Smp_010550.2,10,9.858989735762984,1.7949953797108276,5.673849275784375,non_hub
Smp_152590.1,10,9.855038283999193,5.576878489353115,0.9493212254908543,non_hub
Smp_348790.2,10,9.849930320174415,2.07149804908858,2.416731476393506,non_hub
Smp_181180.1,10,9.835304210523061,1.3423253601836864,0.855005570553066,non_hub
Smp_310150.1,10,9.811088365941055,1.5331468800336059,1.5799740157600184,non_hub
Smp_322930.1,10,9.78752543303575,1.0709630270256612,1.185792852327572,non_hub
Smp_019690.2,9,8.893281539694613,3.8380919383806438,1.0998488214958655,non_hub
Smp_043500.2,9,8.891980409123592,2.1344931955961344,1.0161764417515895,non_hub
Smp_200710.1,9,8.887555455049789,1.9170801131154134,4.9365743628276215,non_hub
Smp_308755.1,9,8.887347911452805,2.0637178192783283,5.721792461732427,non_hub
Smp_082410.1,9,8.885711303757184,1.1362429633033138,0.923066820000324,non_hub
Smp_323290.1,9,8.87491030556519,8.053314857784114,2.1432387700922106,non_hub
Smp_327460.1,9,8.855107583869207,0.7700213655117396,0.8382104428249072,non_hub
Smp_001890.1,9,8.852031711217657,1.329573512883449,1.1426267558320888,non_hub
Smp_347490.1,9,8.839627269145215,1.2741724089196789,1.2073707209115145,non_hub
Smp_244440.1,9,8.838061613258317,0.9723413507850138,0.6932076622650207,non_hub
Smp_097940.1,9,8.83072751003694,1.92961280957849,1.7006491670651187,non_hub
Smp_317180.1,8,7.931879569775443,1.597321845252189,3.401991784316595,non_hub
Smp_340840.1,8,7.920591718062587,1.090485450909788,1.5890964667779677,non_hub
Smp_071590.1,8,7.911572558712094,2.992176643170532,0.776061976535797,non_hub
Smp_319930.1,8,7.899984884411399,5.602650119516976,14.25152434951182,non_hub
