glay,degree,hub_status,mean_log_expression,gene,selected,shared name,variance_log_expression,weighted_degree,rede,gene_busca,motivo_prioridade,Entry,Entry Name,Reviewed,Protein names,Gene Names,Organism,Gene Ontology (biological process),Gene Ontology (molecular function),Gene Ontology (cellular component),Function [CC],InterPro,Pfam,annotation_status
16,30,hub,1.5642269384392768,Smp_012350.1,False,Smp_012350.1,1.1089695298377824,29.641295609474785,positiva,Smp_012350,hub;top_grau_rede,G4VC55,G4VC55_SCHMA,unreviewed,Venom allergen-like (VAL) 11 protein,,Schistosoma mansoni (Blood fluke),,,,,IPR014044;IPR035940;IPR001283;IPR034113;,PF00188;,found
16,30,hub,1.5642269384392768,Smp_012350.1,False,Smp_012350.1,1.1089695298377824,29.641295609474785,positiva,Smp_012350,hub;top_grau_rede,G4VC56,G4VC56_SCHMA,unreviewed,Venom allergen-like (VAL) 11 protein,,Schistosoma mansoni (Blood fluke),,,,,IPR014044;IPR035940;IPR001283;IPR034113;,PF00188;,found
16,27,hub,1.5605287290254428,Smp_320400.1,False,Smp_320400.1,1.1336540350731448,26.60897732341666,positiva,Smp_320400,hub;top_grau_rede,A0A5K4F5C6,A0A5K4F5C6_SCHMA,unreviewed,Dynein light chain,,Schistosoma mansoni (Blood fluke),microtubule-based process [GO:0007017]; mRNA transport [GO:0051028]; protein transport [GO:0015031],dynein intermediate chain binding [GO:0045505],cytoplasmic dynein complex [GO:0005868]; microtubule [GO:0005874]; nucleus [GO:0005634],,IPR037177;IPR001372;,PF01221;,found
16,30,hub,1.594010015877928,Smp_336310.2,False,Smp_336310.2,1.1368962720555846,29.65217937194264,positiva,Smp_336310,hub;top5_por_glay;top_grau_rede,A0A5K4FBV5,A0A5K4FBV5_SCHMA,unreviewed,Midasin,,Schistosoma mansoni (Blood fluke),,,,,IPR007858;IPR049630;,PF05186;,found
16,32,hub,2.219415759943121,Smp_341200.2,False,Smp_341200.2,1.183640891253307,31.584916694805656,positiva,Smp_341200,hub;top5_por_glay;top_grau_rede,A0A5K4FC28,A0A5K4FC28_SCHMA,unreviewed,LisH domain-containing protein,,Schistosoma mansoni (Blood fluke),microtubule anchoring [GO:0034453],,centrosome [GO:0005813],,IPR018993;,PF09398;,found
16,32,hub,2.219415759943121,Smp_341200.2,False,Smp_341200.2,1.183640891253307,31.584916694805656,positiva,Smp_341200,hub;top5_por_glay;top_grau_rede,A0A5K4FD06,A0A5K4FD06_SCHMA,unreviewed,LisH domain-containing protein,,Schistosoma mansoni (Blood fluke),microtubule anchoring [GO:0034453],,microtubule organizing center [GO:0005815],,IPR018993;,PF09398;,found
16,26,hub,2.220986101713509,Smp_133860.1,False,Smp_133860.1,1.220810956247516,25.666081030030657,positiva,Smp_133860,hub;top_grau_rede,G4VNG8,G4VNG8_SCHMA,unreviewed,Mediator of RNA polymerase II transcription subunit 18 (Mediator complex subunit 18),MED18,Schistosoma mansoni (Blood fluke),regulation of transcription by RNA polymerase II [GO:0006357]; termination of RNA polymerase II transcription [GO:0006369],transcription coregulator activity [GO:0003712],core mediator complex [GO:0070847]; mediator complex [GO:0016592],"FUNCTION: Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors. {ECO:0000256|RuleBase:RU364150}.",IPR019095;,PF09637;,found
16,26,hub,1.891011652613664,Smp_105180.2,False,Smp_105180.2,1.5974316608386234,25.627231463623453,positiva,Smp_105180,hub;top_grau_rede,G4VE41,G4VE41_SCHMA,unreviewed,Putative pre-mRNA-splicing factor CWC25,,Schistosoma mansoni (Blood fluke),"mRNA splicing, via spliceosome [GO:0000398]",,U2-type spliceosomal complex [GO:0005684],,IPR022209;IPR051376;,PF12542;,found
16,29,hub,2.368756531406394,Smp_246790.1,False,Smp_246790.1,2.509071735491712,28.689008840395925,positiva,Smp_246790,hub;top_grau_rede,A0A5K4F0X5,A0A5K4F0X5_SCHMA,unreviewed,Ion_trans domain-containing protein (LSDAT_euk domain-containing protein),,Schistosoma mansoni (Blood fluke),metal ion transport [GO:0030001],monoatomic cation channel activity [GO:0005261],plasma membrane [GO:0005886],,IPR005821;IPR050927;IPR057366;IPR041491;,PF00520;PF18139;PF25969;PF25508;,found
16,29,hub,2.368756531406394,Smp_246790.1,False,Smp_246790.1,2.509071735491712,28.689008840395925,positiva,Smp_246790,hub;top_grau_rede,A0A5K4F2L0,A0A5K4F2L0_SCHMA,unreviewed,LSDAT_euk domain-containing protein,,Schistosoma mansoni (Blood fluke),,ligand-gated calcium channel activity [GO:0099604],plasma membrane [GO:0005886],,IPR050927;IPR041491;,PF18139;,found
